table_name|columns|col_count
tbl_file_2_a|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_2_empty|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_2_error|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_2_repeat|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_3|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_3_a|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_3_empty|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_3_error|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_file_3_repeat|id:bigint,uuid:text,folder_id:bigint,file_name:text,file_remark:text,file_disc_name:text,file_size:bigint,hash:text,hash1:text,task_id:bigint,items_id:bigint,create_date:timestamp without time zone,status:smallint,burn_times:smallint,slot_id:integer,content_type:text,storage_class:smallint,thumbs:smallint,meta_data:text|19
tbl_task_check|id:integer,lib_id:integer,driver:text,mode:integer,verify_std:integer,batch:integer,aql:text,accept:integer,reject:integer,discs:integer,ignored:integer,spot:text,person:text,date:text,cmt:text,slot_start:integer,slot_end:integer,status:integer|18
